,mpg,cylinders,cubicinches,hp,weightlbs,time-to-60,year,continent
102,25.0,4,98,80,2126,17,1973, US.
103,34.2,4,105,70,2200,13,1980, US.
104,32.2,4,108,75,2265,15,1981, Japan.
105,26.6,4,151,84,2635,16,1982, US.
106,43.4,4,90,48,2335,24,1981, Europe.
107,30.0,4,88,76,2065,15,1972, Europe.
108,25.0,4,121,115,2671,14,1976, Europe.
109,18.0,8,307,130,3504,12,1971, US.
110,20.0,4,97,88,2279,19,1974, Japan.
111,18.0,4,121,112,2933,15,1973, Europe.
112,16.0,8,351,149,4335,15,1978, US.
113,33.0,4,91,53,1795,18,1976, Japan.
114,37.3,4,91,69,2130,15,1980, Europe.
115,18.0,6,225,95,3785,19,1976, US.
116,24.5,4,151,88,2740,16,1978, US.
117,21.0,6,231,110,3039,15,1976, US.
118,34.4,4,98,65,2045,16,1982, US.
119,15.0,8,429,198,4341,10,1971, US.
120,27.0,4,101,83,2202,15,1977, Europe.
121,26.0,4,79,67,1963,16,1975, Europe.
122,16.0,8,400,170,4668,12,1976, US.
123,23.2,4,156,105,2745,17,1979, US.
124,27.0,4,97,60,1834,19,1972, Europe.
125,26.5,4,140,72,2565,14,1977, US.
126,13.0,8,360,170,4654,13,1974, US.
127,30.9,4,105,75,2230,15,1979, US.
128,20.0,4,114,91,2582,14,1974, Europe.
129,36.1,4,98,66,1800,14,1979, US.
130,26.0,4,97,78,2300,15,1975, Europe.
131,28.0,4,151,90,2678,17,1981, US.
132,12.0,8,455,225,4951,11,1974, US.
133,17.0,8,304,150,3672,12,1973, US.
134,15.0,8,350,145,4440,14,1976, US.
135,16.0,8,318,150,4190,13,1977, US.
136,26.0,4,91,70,1955,21,1972, US.
137,13.0,8,302,129,3169,12,1976, US.
138,22.0,4,121,98,2945,15,1976, Europe.
139,21.0,4,120,87,2979,20,1973, Europe.
140,26.8,6,173,115,2700,13,1980, US.
141,29.0,4,97,75,2171,16,1976, Japan.
142,32.0,4,144,96,2665,14,1983, Japan.
143,35.1,4,81,60,1760,16,1982, Japan.
144,19.2,8,267,125,3605,15,1980, US.
145,23.0,4,120,88,2957,17,1976, Europe.
146,20.6,6,225,110,3360,17,1980, US.
147,27.0,4,151,90,2735,18,1983, US.
148,15.0,8,350,165,3693,12,1971, US.
149,18.1,8,302,139,3205,11,1979, US.
150,31.3,4,120,75,2542,18,1981, Japan.
151,27.5,4,134,95,2560,14,1979, Japan.
152,14.0,8,455,225,4425,10,1971, US.
153,15.0,6,250,72,3158,20,1976, US.
154,28.0,4,107,86,2464,16,1977, Europe.
155,19.0,6,250,88,3302,16,1972, US.
156,18.0,3,70,90,2124,14,1974, Japan.
157,29.5,4,98,68,2135,17,1979, Japan.
158,19.0,6,232,100,2634,13,1972, US.
159,16.2,6,163,133,3410,16,1979, Europe.
160,24.3,4,151,90,3003,20,1981, US.
161,17.5,8,318,140,4080,14,1979, US.
162,18.0,6,171,97,2984,15,1976, US.
163,23.0,6,198,95,2904,16,1974, US.
164,23.0,4,97,54,2254,24,1973, Europe.
165,19.9,8,260,110,3365,16,1979, US.
166,16.0,6,225,105,3439,16,1972, US.
167,26.0,4,156,92,2585,15,1983, US.
168,20.0,6,156,122,2807,14,1974, Japan.
169,38.0,4,105,63,2125,15,1983, US.
170,32.4,4,107,72,2290,17,1981, Japan.
171,20.3,5,131,103,2830,16,1979, Europe.
172,29.0,4,68,49,2900,20,1974, Europe.
173,31.0,4,112,85,2575,16,1983, US.
174,21.0,4,122,86,2226,17,1973, US.
175,26.0,4,96,69,2189,18,1973, Europe.
176,14.0,8,400,175,4385,12,1973, US.
177,14.0,8,304,150,3672,12,1974, US.
178,20.2,8,302,139,3570,13,1979, US.
179,31.5,4,98,68,2045,19,1978, Japan.
180,19.8,6,190,85,2990,18,1980, US.
181,33.8,4,97,67,2145,18,1981, Japan.
182,17.5,8,305,140,4215,13,1977, US.
183,18.0,8,318,150,3436,11,1971, US.
184,34.0,4,112,88,2395,18,1983, US.
185,20.8,6,200,85,3070,17,1979, US.
186,18.0,6,250,105,3459,16,1976, US.
187,13.0,8,318,150,3940,13,1977, US.
188,14.0,8,351,153,4129,13,1973, US.
189,13.0,8,440,215,4735,11,1974, US.
190,25.8,4,156,92,2620,14,1982, US.
191,28.4,4,151,90,2670,16,1980, US.
192,13.0,8,400,190,4422,13,1973, US.
193,15.0,8,350,145,4082,13,1974, US.
194,14.0,8,318,150,4077,14,1973, US.
195,41.5,4,98,76,2144,15,1981, Europe.
196,27.2,4,135,84,2490,16,1982, US.
197,43.1,4,90,48,1985,22,1979, Europe.
198,29.0,4,90,70,1937,14,1976, Europe.
199,33.5,4,85,70,1945,17,1978, Japan.
200,26.0,4,116,75,2246,14,1975, Europe.
201,23.0,4,140,83,2639,17,1976, US.
202,23.9,8,260,90,3420,22,1980, US.
203,19.0,6,225,100,3630,18,1978, US.
204,21.0,4,140,72,2401,20,1974, US.
205,15.0,8,390,190,3850,9,1971, US.
206,40.8,4,85,65,2110,19,1981, Japan.
207,18.0,6,250,88,3021,17,1974, US.
208,13.0,8,307,130,4098,14,1973, US.
209,25.4,6,168,116,2900,13,1982, Japan.
210,22.0,6,146,97,2815,15,1978, Japan.
211,17.7,6,231,165,3445,13,1979, US.
212,39.1,4,79,58,1755,17,1982, Japan.
213,30.0,4,79,70,2074,20,1972, Europe.
214,22.0,6,225,100,3233,15,1977, US.
215,32.9,4,119,100,2615,15,1982, Japan.
216,37.0,4,85,65,1975,19,1982, Japan.
217,14.5,8,351,152,4215,13,1977, US.
218,28.8,6,173,115,2595,11,1980, US.
219,15.0,8,302,130,4295,15,1978, US.
220,17.5,6,258,95,3193,18,1977, US.
221,21.6,4,121,115,2795,16,1979, Europe.
222,14.0,8,318,150,4457,14,1975, US.
223,16.5,6,168,120,3820,17,1977, Europe.
224,14.0,8,302,137,4042,15,1974, US.
225,32.0,4,83,61,2003,19,1975, Japan.
226,10.0,8,360,215,4615,14,1971, US.
227,31.0,4,76,52,1649,17,1975, Japan.
228,21.0,6,200,85,2587,16,1971, US.
229,27.0,4,140,86,2790,16,1983, US.
230,15.0,8,383,170,3563,10,1971, US.
231,28.0,4,120,79,2625,19,1983, US.
232,23.0,4,140,78,2592,19,1976, US.
233,16.0,8,318,150,4498,15,1976, US.
234,20.0,4,130,102,3150,16,1977, Europe.
235,44.0,4,97,52,2130,25,1983, Europe.
236,14.0,8,318,150,4096,13,1972, US.
237,20.2,6,200,85,2965,16,1979, US.
238,39.0,4,86,64,1875,16,1982, US.
239,23.0,4,122,86,2220,14,1972, US.
240,13.0,8,350,145,4055,12,1977, US.
241,18.0,6,225,105,3121,17,1974, US.
242,16.0,8,400,180,4220,11,1978, US.
243,25.0,4,110,87,2672,18,1971, Europe.
244,14.0,8,454,220,4354,9,1971, US.
245,15.0,8,318,150,3399,11,1974, US.
246,19.4,8,318,140,3735,13,1979, US.
247,44.3,4,90,48,2085,22,1981, Europe.
248,28.0,4,97,75,2155,16,1977, Japan.
249,29.0,4,135,84,2525,16,1983, US.
250,32.1,4,98,70,2120,16,1981, US.
251,24.0,4,121,110,2660,14,1974, Europe.
252,36.4,5,121,67,2950,20,1981, Europe.
253,13.0,8,350,145,3988,13,1974, US.
254,23.5,6,173,110,2725,13,1982, US.
255,24.0,4,113,95,2372,15,1971, Japan.
256,17.0,8,305,130,3840,15,1980, US.
257,36.1,4,91,60,1800,16,1979, Japan.
258,22.0,6,232,112,2835,15,1983, US.
259,18.0,6,232,100,3288,16,1972, US.
260,22.0,6,250,105,3353,15,1977, US.
